boro,candidate,votes
Bronx,Aaron S. Foldenauer,3532
Bronx,Andrew Yang,16754
Bronx,Art Chang,1520
Bronx,Dianne Morales,8598
Bronx,Eric L. Adams,85624
Bronx,Isaac Wright Jr.,926
Bronx,Joycelyn Taylor,926
Bronx,Kathryn A. Garcia,18536
Bronx,Maya D. Wiley,31892
Bronx,Paperboy Love Prince,454
Bronx,Raymond J. McGuire,4708
Bronx,Scott M. Stringer,8998
Bronx,Shaun Donovan,5050
Bronx,WRITE-IN,390
Kings,Aaron S. Foldenauer,3322
Kings,Andrew Yang,58448
Kings,Art Chang,3216
Kings,Dianne Morales,13692
Kings,Eric L. Adams,205946
Kings,Isaac Wright Jr.,1180
Kings,Joycelyn Taylor,1424
Kings,Kathryn A. Garcia,88804
Kings,Maya D. Wiley,151502
Kings,Paperboy Love Prince,3380
Kings,Raymond J. McGuire,7718
Kings,Scott M. Stringer,19620
Kings,Shaun Donovan,7722
Kings,WRITE-IN,810
New York,Aaron S. Foldenauer,2498
New York,Andrew Yang,44764
New York,Art Chang,2514
New York,Dianne Morales,10892
New York,Eric L. Adams,86176
New York,Isaac Wright Jr.,782
New York,Joycelyn Taylor,868
New York,Kathryn A. Garcia,142422
New York,Maya D. Wiley,100552
New York,Paperboy Love Prince,1444
New York,Raymond J. McGuire,16178
New York,Scott M. Stringer,29320
New York,Shaun Donovan,10314
New York,WRITE-IN,474
Queens,Aaron S. Foldenauer,3852
Queens,Andrew Yang,57996
Queens,Art Chang,4088
Queens,Dianne Morales,9916
Queens,Eric L. Adams,112828
Queens,Isaac Wright Jr.,808
Queens,Joycelyn Taylor,1012
Queens,Kathryn A. Garcia,51426
Queens,Maya D. Wiley,64632
Queens,Paperboy Love Prince,1350
Queens,Raymond J. McGuire,7236
Queens,Scott M. Stringer,18508
Queens,Shaun Donovan,9646
Queens,WRITE-IN,784
Richmond,Aaron S. Foldenauer,306
Richmond,Andrew Yang,8620
Richmond,Art Chang,386
Richmond,Dianne Morales,1344
Richmond,Eric L. Adams,15894
Richmond,Isaac Wright Jr.,130
Richmond,Joycelyn Taylor,168
Richmond,Kathryn A. Garcia,10436
Richmond,Maya D. Wiley,6866
Richmond,Paperboy Love Prince,236
Richmond,Raymond J. McGuire,1166
Richmond,Scott M. Stringer,4042
Richmond,Shaun Donovan,1874
Richmond,WRITE-IN,214
